,train,val,test
0,slide1,slide8,slide16
1,slide2,slide11,slide18
2,slide3,slide28,slide54
3,slide4,slide41,slide63
4,slide5,slide46,slide65
5,slide6,slide75,slide66
6,slide7,slide79,slide76
7,slide10,slide123,slide86
8,slide12,slide138,slide91
9,slide13,slide149,slide102
10,slide14,slide153,slide104
11,slide15,slide168,slide114
12,slide17,slide173,slide115
13,slide19,slide185,slide121
14,slide20,slide191,slide122
15,slide21,slide219,slide133
16,slide22,slide229,slide164
17,slide23,slide234,slide171
18,slide24,slide255,slide184
19,slide25,slide258,slide186
20,slide26,slide269,slide195
21,slide27,slide279,slide201
22,slide29,slide300,slide206
23,slide30,slide304,slide224
24,slide31,slide305,slide245
25,slide32,slide306,slide247
26,slide33,slide315,slide261
27,slide34,slide317,slide265
28,slide35,slide320,slide275
29,slide36,slide321,slide301
30,slide37,slide338,slide307
31,slide38,slide341,slide324
32,slide39,slide347,slide329
33,slide40,slide354,slide335
34,slide42,slide392,slide342
35,slide43,slide405,slide351
36,slide44,slide410,slide369
37,slide45,slide414,slide377
38,slide47,slide425,slide396
39,slide48,slide428,slide404
40,slide49,slide437,slide421
41,slide50,slide443,slide426
42,slide51,slide455,slide439
43,slide52,slide456,slide453
44,slide53,slide462,slide464
45,slide55,slide474,slide470
46,slide56,slide478,slide475
47,slide57,slide485,slide476
48,slide58,slide488,slide495
49,slide59,slide503,slide496
50,slide60,slide508,slide515
51,slide61,slide522,slide529
52,slide62,slide531,slide535
53,slide64,slide536,slide540
54,slide67,slide555,slide544
55,slide68,slide559,slide546
56,slide69,slide580,slide551
57,slide70,slide590,slide554
58,slide71,slide595,slide576
59,slide72,slide607,slide581
60,slide73,slide621,slide586
61,slide74,slide638,slide593
62,slide100,slide639,slide602
63,slide101,slide643,slide629
64,slide103,slide647,slide636
65,slide105,slide661,slide645
66,slide106,slide688,slide650
67,slide107,slide700,slide663
68,slide108,slide709,slide679
69,slide109,slide710,slide689
70,slide110,slide715,slide695
71,slide111,slide721,slide697
72,slide112,slide731,slide705
73,slide113,slide742,slide722
74,slide116,slide749,slide724
75,slide117,slide751,slide734
76,slide118,slide756,slide746
77,slide119,slide770,slide754
78,slide120,slide771,slide761
79,slide124,slide791,slide762
80,slide125,slide794,slide772
81,slide126,slide809,slide779
82,slide127,slide817,slide781
83,slide128,slide818,slide783
84,slide129,slide823,slide799
85,slide130,slide831,slide834
86,slide131,slide836,slide848
87,slide132,slide853,slide851
88,slide134,slide856,slide870
89,slide135,slide860,slide881
90,slide136,slide861,slide923
91,slide137,slide895,slide933
92,slide139,slide904,slide947
93,slide140,slide906,slide966
94,slide141,slide909,slide971
95,slide142,slide928,slide987
96,slide143,slide981,slide988
97,slide144,slide996,slide999
98,slide145,slide1004,slide1006
99,slide146,slide1010,slide1007
100,slide147,slide1015,slide1012
101,slide148,slide1021,slide1017
102,slide150,slide1030,slide1020
103,slide151,slide1033,slide1031
104,slide152,slide1036,slide1050
105,slide154,slide1051,slide1054
106,slide155,,
107,slide156,,
108,slide157,,
109,slide158,,
110,slide159,,
111,slide160,,
112,slide161,,
113,slide162,,
114,slide163,,
115,slide165,,
116,slide166,,
117,slide167,,
118,slide169,,
119,slide170,,
120,slide172,,
121,slide174,,
122,slide175,,
123,slide176,,
124,slide177,,
125,slide178,,
126,slide179,,
127,slide180,,
128,slide181,,
129,slide182,,
130,slide183,,
131,slide187,,
132,slide188,,
133,slide189,,
134,slide190,,
135,slide192,,
136,slide193,,
137,slide194,,
138,slide196,,
139,slide197,,
140,slide198,,
141,slide199,,
142,slide200,,
143,slide202,,
144,slide203,,
145,slide204,,
146,slide205,,
147,slide207,,
148,slide208,,
149,slide209,,
150,slide210,,
151,slide211,,
152,slide212,,
153,slide213,,
154,slide214,,
155,slide215,,
156,slide216,,
157,slide217,,
158,slide218,,
159,slide220,,
160,slide221,,
161,slide222,,
162,slide223,,
163,slide225,,
164,slide226,,
165,slide227,,
166,slide228,,
167,slide230,,
168,slide231,,
169,slide232,,
170,slide233,,
171,slide235,,
172,slide236,,
173,slide237,,
174,slide238,,
175,slide239,,
176,slide240,,
177,slide241,,
178,slide242,,
179,slide243,,
180,slide244,,
181,slide246,,
182,slide248,,
183,slide249,,
184,slide250,,
185,slide251,,
186,slide252,,
187,slide253,,
188,slide254,,
189,slide256,,
190,slide257,,
191,slide259,,
192,slide260,,
193,slide262,,
194,slide263,,
195,slide264,,
196,slide266,,
197,slide267,,
198,slide268,,
199,slide270,,
200,slide271,,
201,slide272,,
202,slide273,,
203,slide274,,
204,slide276,,
205,slide277,,
206,slide278,,
207,slide280,,
208,slide281,,
209,slide282,,
210,slide283,,
211,slide284,,
212,slide285,,
213,slide286,,
214,slide287,,
215,slide288,,
216,slide289,,
217,slide290,,
218,slide291,,
219,slide292,,
220,slide293,,
221,slide294,,
222,slide295,,
223,slide296,,
224,slide297,,
225,slide298,,
226,slide299,,
227,slide302,,
228,slide303,,
229,slide308,,
230,slide309,,
231,slide310,,
232,slide311,,
233,slide312,,
234,slide313,,
235,slide314,,
236,slide316,,
237,slide318,,
238,slide319,,
239,slide322,,
240,slide323,,
241,slide325,,
242,slide326,,
243,slide327,,
244,slide328,,
245,slide330,,
246,slide331,,
247,slide332,,
248,slide333,,
249,slide334,,
250,slide336,,
251,slide337,,
252,slide339,,
253,slide340,,
254,slide343,,
255,slide344,,
256,slide345,,
257,slide346,,
258,slide348,,
259,slide349,,
260,slide350,,
261,slide352,,
262,slide353,,
263,slide355,,
264,slide356,,
265,slide357,,
266,slide358,,
267,slide359,,
268,slide360,,
269,slide361,,
270,slide362,,
271,slide363,,
272,slide364,,
273,slide365,,
274,slide366,,
275,slide367,,
276,slide368,,
277,slide370,,
278,slide371,,
279,slide372,,
280,slide373,,
281,slide374,,
282,slide375,,
283,slide376,,
284,slide378,,
285,slide379,,
286,slide380,,
287,slide381,,
288,slide382,,
289,slide383,,
290,slide384,,
291,slide385,,
292,slide386,,
293,slide387,,
294,slide388,,
295,slide389,,
296,slide390,,
297,slide391,,
298,slide393,,
299,slide394,,
300,slide395,,
301,slide397,,
302,slide398,,
303,slide399,,
304,slide400,,
305,slide401,,
306,slide402,,
307,slide403,,
308,slide406,,
309,slide407,,
310,slide408,,
311,slide409,,
312,slide411,,
313,slide412,,
314,slide413,,
315,slide415,,
316,slide416,,
317,slide417,,
318,slide418,,
319,slide419,,
320,slide420,,
321,slide422,,
322,slide423,,
323,slide424,,
324,slide427,,
325,slide429,,
326,slide430,,
327,slide431,,
328,slide432,,
329,slide433,,
330,slide434,,
331,slide435,,
332,slide436,,
333,slide438,,
334,slide440,,
335,slide441,,
336,slide442,,
337,slide444,,
338,slide445,,
339,slide446,,
340,slide447,,
341,slide448,,
342,slide449,,
343,slide450,,
344,slide451,,
345,slide452,,
346,slide454,,
347,slide457,,
348,slide458,,
349,slide459,,
350,slide460,,
351,slide461,,
352,slide463,,
353,slide465,,
354,slide466,,
355,slide467,,
356,slide468,,
357,slide469,,
358,slide471,,
359,slide472,,
360,slide473,,
361,slide477,,
362,slide479,,
363,slide480,,
364,slide481,,
365,slide482,,
366,slide483,,
367,slide484,,
368,slide486,,
369,slide487,,
370,slide489,,
371,slide490,,
372,slide491,,
373,slide492,,
374,slide493,,
375,slide494,,
376,slide497,,
377,slide498,,
378,slide499,,
379,slide500,,
380,slide501,,
381,slide502,,
382,slide504,,
383,slide505,,
384,slide506,,
385,slide507,,
386,slide509,,
387,slide510,,
388,slide511,,
389,slide512,,
390,slide513,,
391,slide514,,
392,slide516,,
393,slide517,,
394,slide518,,
395,slide519,,
396,slide520,,
397,slide521,,
398,slide523,,
399,slide524,,
400,slide525,,
401,slide526,,
402,slide527,,
403,slide528,,
404,slide530,,
405,slide532,,
406,slide533,,
407,slide534,,
408,slide537,,
409,slide538,,
410,slide539,,
411,slide541,,
412,slide542,,
413,slide543,,
414,slide545,,
415,slide547,,
416,slide548,,
417,slide549,,
418,slide550,,
419,slide552,,
420,slide553,,
421,slide556,,
422,slide557,,
423,slide558,,
424,slide560,,
425,slide561,,
426,slide562,,
427,slide563,,
428,slide564,,
429,slide565,,
430,slide566,,
431,slide567,,
432,slide568,,
433,slide569,,
434,slide570,,
