,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.834090909090909,0.8333333333333333,0.7547169811320755,0.7264150943396226
1,1,0.7670454545454546,0.7015151515151515,0.7075471698113207,0.6132075471698113
2,2,0.7954545454545454,0.7397727272727272,0.7358490566037736,0.7264150943396226
3,3,0.6859848484848485,0.7871212121212121,0.6415094339622642,0.7358490566037736
4,4,0.7378787878787878,0.6666666666666666,0.7264150943396226,0.6132075471698113
5,5,0.7318181818181818,0.8026515151515151,0.6509433962264151,0.7547169811320755
6,6,0.8534090909090909,0.7106060606060607,0.7264150943396226,0.6603773584905661
7,7,0.812121212121212,0.7257575757575758,0.7358490566037736,0.6415094339622642
8,8,0.8212121212121213,0.7420454545454547,0.6981132075471699,0.6509433962264151
9,9,0.7367424242424242,0.7537878787878788,0.679245283018868,0.6886792452830188
