,train,val,test
0,slide2,slide4,slide1
1,slide3,slide15,slide8
2,slide5,slide16,slide18
3,slide6,slide35,slide31
4,slide10,slide39,slide41
5,slide11,slide52,slide46
6,slide12,slide54,slide61
7,slide13,slide55,slide75
8,slide14,slide58,slide83
9,slide17,slide60,slide109
10,slide19,slide65,slide136
11,slide20,slide66,slide142
12,slide21,slide74,slide159
13,slide22,slide76,slide162
14,slide23,slide82,slide164
15,slide24,slide96,slide167
16,slide25,slide113,slide186
17,slide26,slide117,slide190
18,slide27,slide120,slide191
19,slide28,slide130,slide197
20,slide29,slide132,slide224
21,slide30,slide153,slide229
22,slide32,slide170,slide242
23,slide33,slide171,slide244
24,slide34,slide178,slide256
25,slide36,slide195,slide265
26,slide37,slide219,slide270
27,slide38,slide258,slide277
28,slide40,slide266,slide282
29,slide42,slide294,slide302
30,slide43,slide321,slide309
31,slide44,slide322,slide330
32,slide45,slide337,slide341
33,slide47,slide340,slide356
34,slide48,slide350,slide359
35,slide49,slide351,slide365
36,slide50,slide353,slide373
37,slide51,slide363,slide378
38,slide53,slide364,slide403
39,slide56,slide367,slide407
40,slide57,slide368,slide410
41,slide59,slide390,slide419
42,slide100,slide393,slide429
43,slide101,slide395,slide441
44,slide102,slide412,slide443
45,slide103,slide413,slide446
46,slide104,slide423,slide448
47,slide105,slide435,slide456
48,slide106,slide440,slide460
49,slide107,slide462,slide489
50,slide108,slide480,slide503
51,slide110,slide490,slide504
52,slide111,slide497,slide514
53,slide112,slide499,slide541
54,slide114,slide512,slide542
55,slide115,slide527,slide547
56,slide116,slide531,slide563
57,slide118,slide545,slide567
58,slide119,slide546,slide573
59,slide121,slide548,slide575
60,slide122,slide551,slide607
61,slide123,slide553,slide611
62,slide124,slide570,slide616
63,slide125,slide582,slide621
64,slide126,slide594,slide631
65,slide127,slide604,slide652
66,slide128,slide647,slide656
67,slide129,slide658,slide672
68,slide131,slide661,slide688
69,slide133,slide669,slide702
70,slide134,slide683,slide743
71,slide135,slide689,slide758
72,slide137,slide742,slide780
73,slide138,slide777,slide782
74,slide139,slide786,slide817
75,slide140,slide787,slide820
76,slide141,slide788,slide824
77,slide143,slide794,slide828
78,slide144,slide802,slide834
79,slide145,slide805,slide837
80,slide146,slide819,slide848
81,slide147,slide839,slide849
82,slide148,slide847,slide854
83,slide149,slide852,slide861
84,slide150,slide876,slide865
85,slide151,slide890,slide868
86,slide152,slide891,slide870
87,slide154,slide929,slide872
88,slide155,slide932,slide884
89,slide156,slide934,slide886
90,slide157,slide935,slide896
91,slide158,slide943,slide926
92,slide160,slide946,slide933
93,slide161,slide952,slide941
94,slide163,slide962,slide942
95,slide165,slide963,slide948
96,slide166,slide983,slide953
97,slide168,slide989,slide960
98,slide169,slide998,slide973
99,slide172,slide1005,slide986
100,slide173,slide1006,slide1000
101,slide174,slide1007,slide1025
102,slide175,slide1009,slide1043
103,slide176,slide1036,slide1045
104,slide177,slide1037,slide1047
105,slide179,slide1052,slide1056
106,slide180,,
107,slide181,,
108,slide182,,
109,slide183,,
110,slide184,,
111,slide185,,
112,slide187,,
113,slide188,,
114,slide189,,
115,slide192,,
116,slide193,,
117,slide194,,
118,slide196,,
