,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.7712121212121212,0.8200757575757576,0.6981132075471699,0.7358490566037736
1,1,0.7647727272727273,0.7234848484848485,0.7075471698113207,0.6509433962264151
2,2,0.7700757575757575,0.7174242424242424,0.7358490566037736,0.7075471698113207
3,3,0.7034090909090909,0.7863636363636364,0.6415094339622642,0.6981132075471699
4,4,0.6791666666666666,0.6518939393939394,0.6509433962264151,0.6226415094339622
5,5,0.7655303030303031,0.8272727272727273,0.679245283018868,0.7264150943396226
6,6,0.8181818181818182,0.6768939393939394,0.7547169811320755,0.6603773584905661
7,7,0.7780303030303031,0.6571969696969697,0.6981132075471699,0.6509433962264151
8,8,0.7378787878787879,0.7306818181818182,0.6698113207547169,0.679245283018868
9,9,0.6685606060606061,0.6875,0.6509433962264151,0.6698113207547169
